2021-01-17 16:52:12,540 - INFO - ####################################
2021-01-17 16:52:12,540 - INFO - ############Loading Model###########
2021-01-17 16:52:12,540 - INFO - ####################################
2021-01-17 16:52:16,249 - INFO - Env 02, Goal (002.7, 006.5), Episode 00001, setp 018, Reward 38.3 , Distance 009.8, Reach Goal
2021-01-17 16:52:19,751 - INFO - Env 11, Goal (002.3, -02.9), Episode 00001, setp 050, Reward 35.4 , Distance 008.7, Reach Goal
2021-01-17 16:52:20,561 - INFO - Env 09, Goal (003.1, -04.3), Episode 00001, setp 055, Reward 38.0 , Distance 009.7, Reach Goal
2021-01-17 16:52:21,061 - INFO - Env 04, Goal (000.4, 003.8), Episode 00001, setp 057, Reward 38.5 , Distance 009.9, Reach Goal
2021-01-17 16:52:22,335 - INFO - Env 05, Goal (-04.6, -00.4), Episode 00001, setp 067, Reward 34.6 , Distance 008.3, Reach Goal
2021-01-17 16:52:23,251 - INFO - Env 03, Goal (006.0, 005.4), Episode 00001, setp 073, Reward 36.0 , Distance 008.9, Reach Goal
2021-01-17 16:52:25,438 - INFO - Env 01, Goal (002.1, -02.6), Episode 00001, setp 092, Reward 36.3 , Distance 009.1, Reach Goal
2021-01-17 16:52:26,826 - INFO - ########################## model saved when update 20 times#########################
2021-01-17 16:52:26,827 - INFO - Env 00, Goal (008.5, 001.7), Episode 00001, setp 102, Reward 37.4 , Distance 009.5, Reach Goal
2021-01-17 16:52:27,529 - INFO - Env 10, Goal (007.6, 000.7), Episode 00001, setp 106, Reward 36.1 , Distance 009.0, Reach Goal
2021-01-17 16:52:28,829 - INFO - Env 08, Goal (004.1, -00.7), Episode 00001, setp 116, Reward 35.1 , Distance 008.6, Reach Goal
2021-01-17 16:55:36,963 - INFO - ####################################
2021-01-17 16:55:37,010 - INFO - ############Loading Model###########
2021-01-17 16:55:37,011 - INFO - ####################################
2021-01-17 16:55:42,557 - INFO - Env 09, Goal (-01.7, -05.4), Episode 00001, setp 031, Reward 34.1 , Distance 008.2, Reach Goal
2021-01-17 16:55:43,223 - INFO - Env 07, Goal (002.6, -08.0), Episode 00001, setp 033, Reward -11.4, Distance 009.2, Crashed
