2021-01-10 23:38:15,901 - INFO - #####################################
2021-01-10 23:38:15,903 - INFO - ############Start Training###########
2021-01-10 23:38:15,903 - INFO - #####################################
2021-01-10 23:38:17,566 - INFO - Env 10, Goal (-06.8, 004.3), Episode 00001, setp 002, Reward 15.0 , Distance 008.5, Reach Goal
2021-01-10 23:38:20,093 - INFO - Env 06, Goal (000.6, 006.3), Episode 00001, setp 022, Reward 37.0 , Distance 009.4, Reach Goal
2021-01-10 23:38:20,097 - INFO - Env 23, Goal (005.4, -06.1), Episode 00001, setp 022, Reward -3.1 , Distance 008.5, Crashed
2021-01-10 23:38:21,002 - INFO - Env 17, Goal (004.9, 000.4), Episode 00001, setp 027, Reward -14.6, Distance 009.5, Crashed
2021-01-10 23:38:21,844 - INFO - ########################## model saved when update 20 times#########################
2021-01-10 23:38:21,846 - INFO - Env 00, Goal (-01.3, 003.5), Episode 00001, setp 030, Reward -11.3, Distance 009.2, Crashed
2021-01-10 23:38:22,393 - INFO - Env 02, Goal (004.9, -03.4), Episode 00001, setp 034, Reward -5.5 , Distance 009.8, Crashed
2021-01-10 23:38:23,639 - INFO - Env 21, Goal (007.6, -04.3), Episode 00001, setp 042, Reward 2.7  , Distance 009.9, Crashed
2021-01-10 23:38:24,301 - INFO - Env 10, Goal (-03.3, 005.0), Episode 00002, setp 045, Reward -19.4, Distance 008.1, Crashed
2021-01-10 23:38:25,126 - INFO - Env 01, Goal (-04.7, -01.2), Episode 00001, setp 052, Reward -17.5, Distance 008.1, Crashed
2021-01-10 23:38:25,135 - INFO - Env 07, Goal (-02.0, -02.6), Episode 00001, setp 052, Reward -11.9, Distance 009.2, Crashed
2021-01-10 23:38:25,594 - INFO - Env 08, Goal (-03.7, 008.1), Episode 00001, setp 054, Reward -4.2 , Distance 008.0, Crashed
2021-01-10 23:38:26,727 - INFO - Env 20, Goal (002.0, 000.9), Episode 00001, setp 062, Reward -6.5 , Distance 008.8, Crashed
2021-01-10 23:38:28,077 - INFO - Env 16, Goal (-02.2, 003.3), Episode 00001, setp 073, Reward -14.9, Distance 008.0, Crashed
2021-01-10 23:38:28,715 - INFO - Env 02, Goal (004.1, 007.0), Episode 00002, setp 042, Reward -19.4, Distance 009.7, Crashed
2021-01-10 23:38:28,997 - INFO - Env 02, Goal (004.1, -02.1), Episode 00003, setp 002, Reward -15.0, Distance 008.1, Crashed
2021-01-10 23:38:28,999 - INFO - Env 11, Goal (-01.5, 005.2), Episode 00001, setp 076, Reward 1.6  , Distance 009.5, Crashed
2021-01-10 23:38:29,794 - INFO - Env 14, Goal (002.2, 002.3), Episode 00001, setp 082, Reward -9.5 , Distance 009.6, Crashed
2021-01-10 23:38:30,211 - INFO - Env 14, Goal (-07.5, 003.0), Episode 00002, setp 002, Reward -15.0, Distance 009.1, Crashed
2021-01-10 23:38:30,212 - INFO - Env 23, Goal (-07.9, -01.3), Episode 00002, setp 062, Reward -18.7, Distance 009.9, Crashed
2021-01-10 23:38:31,004 - INFO - Env 18, Goal (003.0, -05.4), Episode 00001, setp 088, Reward -4.0 , Distance 008.5, Crashed
2021-01-10 23:38:31,718 - INFO - Env 01, Goal (004.5, 004.8), Episode 00002, setp 040, Reward -15.7, Distance 008.5, Crashed
2021-01-10 23:38:31,989 - INFO - Env 20, Goal (-03.4, -02.4), Episode 00002, setp 031, Reward -17.9, Distance 008.1, Crashed
2021-01-10 23:38:33,314 - INFO - Env 18, Goal (007.6, -00.3), Episode 00002, setp 014, Reward -16.9, Distance 009.9, Crashed
2021-01-10 23:38:33,996 - INFO - Env 15, Goal (008.1, -03.0), Episode 00001, setp 106, Reward -12.6, Distance 009.6, Crashed
2021-01-10 23:38:34,569 - INFO - Env 06, Goal (-02.8, 007.1), Episode 00002, setp 088, Reward -1.6 , Distance 009.3, Crashed
2021-01-10 23:38:35,186 - INFO - Env 07, Goal (-02.8, 001.0), Episode 00002, setp 061, Reward -17.7, Distance 008.6, Crashed
2021-01-10 23:38:35,922 - INFO - Env 08, Goal (-01.4, -02.7), Episode 00002, setp 062, Reward -19.5, Distance 008.4, Crashed
2021-01-10 23:38:36,303 - INFO - Env 12, Goal (002.8, -05.3), Episode 00001, setp 116, Reward -9.7 , Distance 009.9, Crashed
2021-01-10 23:38:37,224 - INFO - Env 17, Goal (005.4, -07.0), Episode 00002, setp 096, Reward -4.1 , Distance 009.9, Crashed
2021-01-10 23:38:41,908 - INFO - Env 01, Goal (-03.2, -07.7), Episode 00003, setp 043, Reward -11.0, Distance 008.3, Crashed
2021-01-10 23:38:41,916 - INFO - Env 08, Goal (000.7, -06.2), Episode 00003, setp 019, Reward -15.4, Distance 008.7, Crashed
2021-01-10 23:38:42,580 - INFO - Env 11, Goal (001.5, 003.0), Episode 00002, setp 062, Reward -21.9, Distance 009.9, Crashed
2021-01-10 23:38:43,685 - INFO - Env 05, Goal (003.0, -02.5), Episode 00001, setp 144, Reward -18.8, Distance 008.0, Crashed
2021-01-10 23:38:44,704 - INFO - Env 13, Goal (007.5, -04.9), Episode 00001, setp 152, Reward 1.9  , Distance 009.9, Time out
2021-01-10 23:38:44,705 - INFO - Env 03, Goal (-02.4, -03.2), Episode 00001, setp 152, Reward 5.1  , Distance 009.0, Time out
2021-01-10 23:38:44,710 - INFO - Env 22, Goal (002.3, -00.6), Episode 00001, setp 152, Reward 10.5 , Distance 009.8, Time out
2021-01-10 23:38:44,710 - INFO - Env 09, Goal (004.1, 002.6), Episode 00001, setp 152, Reward 11.9 , Distance 008.8, Time out
2021-01-10 23:38:44,710 - INFO - Env 19, Goal (003.7, -07.5), Episode 00001, setp 152, Reward -0.2 , Distance 008.2, Time out
2021-01-10 23:38:44,719 - INFO - Env 04, Goal (-05.2, 005.4), Episode 00001, setp 152, Reward 4.2  , Distance 008.0, Time out
2021-01-10 23:38:45,498 - INFO - Env 14, Goal (005.6, 006.8), Episode 00003, setp 075, Reward -18.1, Distance 009.6, Crashed
