2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:11:32,223 - INFO - ############Start Training###########
2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:12:17,547 - INFO - ####################################
2021-01-19 00:12:17,547 - INFO - ############Loading Model###########
2021-01-19 00:12:17,548 - INFO - ####################################
2021-01-19 00:12:23,081 - INFO - Env 09, Goal (-00.4, -03.8), Episode 00001, setp 040, Reward 35.8 , Distance 008.8, Reach Goal
2021-01-19 00:12:23,859 - INFO - Env 02, Goal (001.1, 005.1), Episode 00001, setp 045, Reward 37.1 , Distance 009.4, Reach Goal
2021-01-19 00:12:24,895 - INFO - Env 08, Goal (-02.4, -01.8), Episode 00001, setp 052, Reward 38.3 , Distance 009.9, Reach Goal
2021-01-19 00:12:25,292 - INFO - Env 09, Goal (006.5, -04.3), Episode 00002, setp 014, Reward -11.5, Distance 009.3, Crashed
2021-01-19 00:12:25,296 - INFO - Env 08, Goal (001.3, -02.9), Episode 00002, setp 002, Reward -15.0, Distance 008.2, Crashed
2021-01-19 00:12:27,223 - INFO - Env 04, Goal (000.5, 001.5), Episode 00001, setp 067, Reward 33.6 , Distance 008.0, Reach Goal
2021-01-19 00:12:27,573 - INFO - Env 01, Goal (008.0, -02.7), Episode 00001, setp 068, Reward 36.7 , Distance 009.2, Reach Goal
2021-01-19 00:12:29,368 - INFO - Env 02, Goal (-00.3, -05.0), Episode 00002, setp 038, Reward -11.1, Distance 009.1, Crashed
2021-01-19 00:12:30,697 - INFO - Env 02, Goal (-01.8, -06.3), Episode 00003, setp 009, Reward -13.5, Distance 008.8, Crashed
2021-01-19 00:12:31,966 - INFO - Env 07, Goal (-00.2, 002.2), Episode 00001, setp 099, Reward 36.5 , Distance 009.1, Reach Goal
2021-01-19 00:12:32,854 - INFO - Env 11, Goal (-02.9, -05.5), Episode 00001, setp 105, Reward 38.6 , Distance 010.0, Reach Goal
2021-01-19 00:12:33,482 - INFO - Env 00, Goal (007.8, 002.6), Episode 00001, setp 107, Reward 33.6 , Distance 008.1, Reach Goal
2021-01-19 00:12:35,156 - INFO - Env 03, Goal (004.9, -03.0), Episode 00001, setp 119, Reward 35.7 , Distance 008.9, Reach Goal
2021-01-19 00:12:35,803 - INFO - Env 06, Goal (000.8, -07.3), Episode 00001, setp 122, Reward 35.0 , Distance 008.6, Reach Goal
2021-01-19 00:12:38,674 - INFO - Env 08, Goal (000.6, 002.9), Episode 00003, setp 084, Reward 6.0  , Distance 009.6, Crashed
2021-01-19 00:12:38,696 - INFO - Env 00, Goal (003.3, -02.7), Episode 00002, setp 030, Reward -7.8 , Distance 009.4, Crashed
2021-01-19 00:12:39,101 - INFO - Env 10, Goal (-06.0, 002.1), Episode 00001, setp 137, Reward 36.5 , Distance 009.2, Reach Goal
2021-01-19 00:12:40,093 - INFO - Env 04, Goal (002.4, 007.2), Episode 00002, setp 078, Reward 35.0 , Distance 008.5, Reach Goal
2021-01-19 00:12:40,755 - INFO - Env 05, Goal (007.5, -01.6), Episode 00001, setp 148, Reward 35.2 , Distance 008.6, Reach Goal
2021-01-19 00:12:41,872 - INFO - Env 09, Goal (-00.1, -07.5), Episode 00003, setp 103, Reward 38.3 , Distance 009.9, Reach Goal
2021-01-19 00:12:43,086 - INFO - Env 02, Goal (-02.1, -07.7), Episode 00004, setp 075, Reward 35.0 , Distance 008.5, Reach Goal
2021-01-19 00:12:44,690 - INFO - Env 01, Goal (001.9, 002.9), Episode 00002, setp 109, Reward 36.7 , Distance 009.3, Reach Goal
2021-01-19 00:12:45,460 - INFO - Env 02, Goal (000.1, -06.5), Episode 00005, setp 018, Reward -14.3, Distance 008.2, Crashed
2021-01-19 00:12:47,684 - INFO - Env 07, Goal (007.8, -02.8), Episode 00002, setp 100, Reward 34.8 , Distance 008.5, Reach Goal
2021-01-19 00:12:50,083 - INFO - Env 10, Goal (-02.0, -03.9), Episode 00002, setp 081, Reward 33.9 , Distance 008.1, Reach Goal
2021-01-19 00:12:51,259 - INFO - Env 06, Goal (001.1, -07.8), Episode 00002, setp 104, Reward 36.6 , Distance 009.2, Reach Goal
2021-01-19 00:12:51,976 - INFO - Env 04, Goal (-05.0, -03.3), Episode 00003, setp 086, Reward 34.1 , Distance 008.2, Reach Goal
2021-01-19 00:12:51,977 - INFO - Env 03, Goal (005.5, 002.8), Episode 00002, setp 111, Reward 36.1 , Distance 009.0, Reach Goal
2021-01-19 00:12:52,412 - INFO - Env 08, Goal (008.4, 001.7), Episode 00004, setp 095, Reward 33.7 , Distance 008.0, Reach Goal
2021-01-19 00:12:52,860 - INFO - Env 11, Goal (-02.5, 004.3), Episode 00002, setp 128, Reward 36.9 , Distance 009.3, Reach Goal
