2021-01-26 16:12:24,888 - INFO - #####################################
2021-01-26 16:12:24,890 - INFO - ############Start Training###########
2021-01-26 16:12:24,891 - INFO - #####################################
2021-01-26 16:12:34,344 - INFO - Env 07, Goal (-05.2, 007.2), Episode 00001, setp 077, Reward -11.2, Distance 009.6, Crashed
2021-01-26 16:12:36,549 - INFO - Env 08, Goal (004.1, -03.8), Episode 00001, setp 096, Reward -3.6 , Distance 009.4, Crashed
2021-01-26 16:12:38,159 - INFO - Env 01, Goal (-04.1, 004.3), Episode 00001, setp 109, Reward -6.7 , Distance 009.2, Crashed
2021-01-26 16:12:38,542 - INFO - Env 09, Goal (000.4, -01.3), Episode 00001, setp 110, Reward 2.4  , Distance 008.2, Crashed
2021-01-26 16:12:39,439 - INFO - Env 08, Goal (-00.4, 003.5), Episode 00002, setp 021, Reward -16.9, Distance 010.0, Crashed
2021-01-26 16:12:39,919 - INFO - Env 06, Goal (004.7, 001.9), Episode 00001, setp 118, Reward -7.6 , Distance 009.9, Crashed
2021-01-26 16:12:40,337 - INFO - Env 10, Goal (-02.0, 007.3), Episode 00001, setp 119, Reward -13.4, Distance 009.3, Crashed
2021-01-26 16:12:40,438 - INFO - ########################## model saved when update 50 times#########################
2021-01-26 16:12:40,440 - INFO - Env 00, Goal (003.0, 001.5), Episode 00001, setp 119, Reward -5.1 , Distance 008.4, Crashed
2021-01-26 16:14:18,252 - INFO - #####################################
2021-01-26 16:14:18,253 - INFO - ############Start Training###########
2021-01-26 16:14:18,254 - INFO - #####################################
2021-01-26 16:14:30,037 - INFO - Env 02, Goal (-02.7, -08.1), Episode 00001, setp 111, Reward -36.2, Distance 009.5, Crashed
2021-01-26 16:14:33,223 - INFO - Env 08, Goal (001.6, -08.2), Episode 00001, setp 131, Reward 33.9 , Distance 008.2, Reach Goal
2021-01-26 16:14:35,453 - INFO - Env 07, Goal (-01.6, -00.8), Episode 00001, setp 150, Reward -12.0, Distance 009.4, Crashed
2021-01-26 16:14:35,965 - INFO - Env 01, Goal (-02.9, 000.3), Episode 00001, setp 152, Reward 2.3  , Distance 009.2, Time out
2021-01-26 16:14:35,966 - INFO - Env 10, Goal (-06.8, 002.1), Episode 00001, setp 152, Reward -16.5, Distance 009.3, Time out
2021-01-26 16:14:35,966 - INFO - Env 11, Goal (-03.5, -06.8), Episode 00001, setp 152, Reward -16.5, Distance 008.5, Time out
2021-01-26 16:14:35,967 - INFO - Env 05, Goal (-04.3, 003.7), Episode 00001, setp 152, Reward 5.0  , Distance 009.0, Time out
2021-01-26 16:14:35,967 - INFO - Env 03, Goal (-03.3, -01.3), Episode 00001, setp 152, Reward 13.3 , Distance 008.8, Time out
2021-01-26 16:14:35,967 - INFO - Env 06, Goal (-02.6, 001.9), Episode 00001, setp 152, Reward 10.2 , Distance 009.3, Time out
2021-01-26 16:14:35,967 - INFO - Env 04, Goal (-05.6, 002.6), Episode 00001, setp 152, Reward -1.1 , Distance 008.3, Time out
2021-01-26 16:14:35,968 - INFO - Env 09, Goal (-00.6, -04.8), Episode 00001, setp 152, Reward 8.5  , Distance 009.7, Time out
2021-01-26 16:14:35,968 - INFO - Env 00, Goal (-04.3, -02.9), Episode 00001, setp 152, Reward 12.9 , Distance 008.3, Time out
2021-01-26 16:14:36,337 - INFO - Env 08, Goal (001.4, -01.4), Episode 00002, setp 023, Reward -18.3, Distance 009.3, Crashed
2021-01-26 16:14:41,834 - INFO - Env 00, Goal (-01.1, 000.7), Episode 00002, setp 054, Reward -20.5, Distance 008.5, Crashed
2021-01-26 16:14:42,239 - INFO - Env 11, Goal (004.7, -04.1), Episode 00002, setp 055, Reward -19.1, Distance 008.1, Crashed
2021-01-26 16:14:44,639 - INFO - Env 08, Goal (005.0, 001.0), Episode 00003, setp 075, Reward -13.8, Distance 009.8, Crashed
2021-01-26 16:14:46,260 - INFO - Env 09, Goal (-01.8, -04.8), Episode 00002, setp 089, Reward -23.8, Distance 009.8, Crashed
2021-01-26 16:14:47,228 - INFO - Env 05, Goal (-03.5, -01.2), Episode 00002, setp 096, Reward -24.1, Distance 009.2, Crashed
2021-01-26 16:14:48,662 - INFO - Env 08, Goal (001.1, -04.6), Episode 00004, setp 031, Reward -17.6, Distance 009.0, Crashed
2021-01-26 16:14:49,535 - INFO - Env 02, Goal (001.0, 002.1), Episode 00002, setp 152, Reward 2.3  , Distance 008.9, Time out
2021-01-26 16:14:50,322 - INFO - Env 09, Goal (-05.3, -02.0), Episode 00003, setp 029, Reward -18.1, Distance 009.9, Crashed
2021-01-26 16:14:50,738 - INFO - Env 07, Goal (003.8, 002.9), Episode 00002, setp 120, Reward -19.5, Distance 009.1, Crashed
2021-01-26 16:14:50,738 - INFO - Env 09, Goal (-02.5, -07.1), Episode 00004, setp 002, Reward -15.0, Distance 008.4, Crashed
2021-01-26 16:14:52,542 - INFO - Env 07, Goal (000.2, 004.6), Episode 00003, setp 016, Reward -16.4, Distance 008.3, Crashed
2021-01-26 16:14:53,522 - INFO - Env 02, Goal (005.4, 003.2), Episode 00003, setp 030, Reward -12.1, Distance 009.5, Crashed
2021-01-26 16:14:54,855 - INFO - Env 04, Goal (-03.0, -06.2), Episode 00002, setp 150, Reward -17.4, Distance 009.4, Crashed
2021-01-26 16:14:55,239 - INFO - Env 05, Goal (-04.0, 002.7), Episode 00003, setp 056, Reward -15.1, Distance 009.0, Crashed
2021-01-26 16:14:55,638 - INFO - Env 10, Goal (001.5, -05.8), Episode 00002, setp 152, Reward 16.6 , Distance 009.2, Time out
2021-01-26 16:14:55,638 - INFO - Env 01, Goal (-07.6, 002.6), Episode 00002, setp 152, Reward -8.6 , Distance 009.2, Time out
2021-01-26 16:14:55,638 - INFO - Env 03, Goal (-00.1, -05.2), Episode 00002, setp 152, Reward -4.3 , Distance 009.5, Time out
2021-01-26 16:14:55,639 - INFO - Env 06, Goal (004.0, -06.7), Episode 00002, setp 152, Reward -4.0 , Distance 008.8, Time out
2021-01-26 16:14:58,158 - INFO - Env 04, Goal (000.8, 002.0), Episode 00003, setp 025, Reward -17.4, Distance 009.9, Crashed
2021-01-26 16:15:02,717 - INFO - Env 08, Goal (-01.2, -01.2), Episode 00005, setp 082, Reward -18.2, Distance 009.2, Crashed
2021-01-26 16:16:06,133 - INFO - ####################################
2021-01-26 16:16:06,134 - INFO - ############Loading Model###########
2021-01-26 16:16:06,135 - INFO - ####################################
2021-01-26 16:16:12,513 - INFO - Env 02, Goal (-04.5, 006.9), Episode 00001, setp 056, Reward -2.2 , Distance 009.9, Crashed
2021-01-26 16:16:13,831 - INFO - Env 06, Goal (-07.1, 005.3), Episode 00001, setp 066, Reward 38.4 , Distance 009.9, Reach Goal
2021-01-26 16:16:14,521 - INFO - Env 09, Goal (001.6, -00.2), Episode 00001, setp 070, Reward 3.4  , Distance 009.4, Crashed
2021-01-26 16:16:15,534 - INFO - Env 01, Goal (-00.2, 004.2), Episode 00001, setp 077, Reward 36.1 , Distance 009.0, Reach Goal
2021-01-26 16:16:16,407 - INFO - Env 05, Goal (-00.3, -01.3), Episode 00001, setp 083, Reward 2.3  , Distance 008.3, Crashed
2021-01-26 16:16:18,607 - INFO - Env 08, Goal (-00.8, 000.7), Episode 00001, setp 102, Reward 38.6 , Distance 010.0, Reach Goal
2021-01-26 16:16:19,007 - INFO - Env 04, Goal (004.0, 006.9), Episode 00001, setp 103, Reward 37.1 , Distance 009.4, Reach Goal
2021-01-26 16:16:19,591 - INFO - ########################## model saved when update 50 times#########################
2021-01-26 16:16:19,593 - INFO - Env 00, Goal (004.1, 001.9), Episode 00001, setp 105, Reward 34.0 , Distance 008.1, Reach Goal
2021-01-26 16:16:23,409 - INFO - Env 10, Goal (-02.3, 001.3), Episode 00001, setp 136, Reward 37.4 , Distance 009.5, Reach Goal
2021-01-26 16:16:24,223 - INFO - Env 07, Goal (-00.7, 007.0), Episode 00001, setp 141, Reward 37.5 , Distance 009.5, Reach Goal
2021-01-26 16:16:25,027 - INFO - Env 02, Goal (-04.5, -07.7), Episode 00002, setp 091, Reward 34.8 , Distance 008.5, Reach Goal
2021-01-26 16:16:25,806 - INFO - Env 03, Goal (-00.7, -05.7), Episode 00001, setp 152, Reward 19.6 , Distance 009.8, Time out
2021-01-26 16:16:25,806 - INFO - Env 11, Goal (-02.9, 008.5), Episode 00001, setp 152, Reward 15.4 , Distance 008.9, Time out
2021-01-26 16:16:28,187 - INFO - Env 06, Goal (-01.5, 002.4), Episode 00002, setp 108, Reward 36.5 , Distance 009.1, Reach Goal
2021-01-26 16:16:29,485 - INFO - Env 01, Goal (-01.3, -06.4), Episode 00002, setp 107, Reward 37.3 , Distance 009.5, Reach Goal
2021-01-26 16:16:29,536 - INFO - Env 08, Goal (004.8, -07.4), Episode 00002, setp 082, Reward 34.1 , Distance 008.1, Reach Goal
2021-01-26 16:16:31,714 - INFO - Env 09, Goal (000.2, -05.9), Episode 00002, setp 133, Reward 35.7 , Distance 008.9, Reach Goal
2021-01-26 16:16:32,107 - INFO - Env 06, Goal (001.7, 001.2), Episode 00003, setp 031, Reward -13.7, Distance 009.6, Crashed
2021-01-26 16:16:32,107 - INFO - Env 09, Goal (000.4, -08.9), Episode 00003, setp 002, Reward -15.0, Distance 009.8, Crashed
2021-01-26 16:16:32,517 - INFO - Env 00, Goal (-03.8, 001.7), Episode 00002, setp 100, Reward 34.9 , Distance 008.5, Reach Goal
2021-01-26 16:16:33,217 - INFO - Env 05, Goal (002.6, 007.5), Episode 00002, setp 126, Reward 37.5 , Distance 009.6, Reach Goal
2021-01-26 16:16:34,111 - INFO - Env 04, Goal (-03.5, 004.3), Episode 00002, setp 112, Reward 38.4 , Distance 009.9, Reach Goal
2021-01-26 16:16:34,111 - INFO - Env 00, Goal (004.0, 002.0), Episode 00003, setp 011, Reward -15.2, Distance 008.5, Crashed
2021-01-26 16:16:35,825 - INFO - Env 10, Goal (-03.9, -06.3), Episode 00002, setp 093, Reward 34.2 , Distance 008.2, Reach Goal
2021-01-26 16:16:38,411 - INFO - Env 07, Goal (-03.2, 005.1), Episode 00002, setp 111, Reward 37.1 , Distance 009.4, Reach Goal
2021-01-26 16:16:39,231 - INFO - Env 03, Goal (-02.3, -07.2), Episode 00002, setp 105, Reward 36.6 , Distance 009.2, Reach Goal
2021-01-26 16:16:39,498 - INFO - Env 03, Goal (-01.2, -03.8), Episode 00003, setp 002, Reward -15.0, Distance 009.6, Crashed
2021-01-26 16:16:39,498 - INFO - Env 02, Goal (-01.3, 006.6), Episode 00003, setp 112, Reward 6.2  , Distance 009.6, Crashed
2021-01-26 16:16:40,489 - INFO - Env 11, Goal (-00.3, -03.6), Episode 00002, setp 112, Reward 35.5 , Distance 008.7, Reach Goal
2021-01-26 16:16:42,823 - INFO - Env 08, Goal (-07.9, 002.1), Episode 00003, setp 101, Reward 36.1 , Distance 008.9, Reach Goal
2021-01-26 16:16:43,629 - INFO - Env 06, Goal (-01.7, 001.6), Episode 00004, setp 086, Reward 34.9 , Distance 008.5, Reach Goal
2021-01-26 16:16:44,985 - INFO - Env 09, Goal (-02.7, -06.7), Episode 00004, setp 097, Reward 33.8 , Distance 008.1, Reach Goal
2021-01-26 16:16:45,407 - INFO - Env 01, Goal (004.1, 005.3), Episode 00003, setp 118, Reward 37.9 , Distance 009.7, Reach Goal
2021-01-26 16:16:46,608 - INFO - Env 05, Goal (007.6, -00.6), Episode 00003, setp 102, Reward 35.1 , Distance 008.6, Reach Goal
2021-01-26 16:16:47,011 - INFO - Env 00, Goal (002.7, -08.4), Episode 00004, setp 097, Reward 33.7 , Distance 008.1, Reach Goal
2021-01-26 16:16:48,228 - INFO - Env 04, Goal (-01.6, -02.1), Episode 00003, setp 106, Reward 37.6 , Distance 009.6, Reach Goal
2021-01-26 16:16:50,630 - INFO - Env 07, Goal (006.1, -03.6), Episode 00003, setp 090, Reward 35.1 , Distance 008.5, Reach Goal
2021-01-26 16:16:52,695 - INFO - Env 10, Goal (005.0, -04.8), Episode 00003, setp 131, Reward 36.4 , Distance 009.1, Reach Goal
2021-01-26 16:16:54,027 - INFO - Env 03, Goal (-02.9, 007.5), Episode 00004, setp 112, Reward 35.2 , Distance 008.6, Reach Goal
2021-01-26 16:16:54,827 - INFO - Env 06, Goal (006.5, 001.2), Episode 00005, setp 086, Reward 33.8 , Distance 008.0, Reach Goal
2021-01-26 16:16:55,495 - INFO - Env 11, Goal (002.0, 002.7), Episode 00003, setp 115, Reward 35.7 , Distance 008.8, Reach Goal
2021-01-26 16:16:57,208 - INFO - Env 02, Goal (-01.2, -05.8), Episode 00004, setp 131, Reward 38.3 , Distance 009.9, Reach Goal
2021-01-26 16:16:57,608 - INFO - Env 09, Goal (-01.9, -07.1), Episode 00005, setp 090, Reward 36.2 , Distance 009.0, Reach Goal
2021-01-26 16:16:58,987 - INFO - Env 08, Goal (-05.2, 001.3), Episode 00004, setp 117, Reward 35.4 , Distance 008.7, Reach Goal
2021-01-26 16:17:02,700 - INFO - Env 00, Goal (001.7, -00.4), Episode 00005, setp 124, Reward 38.3 , Distance 009.9, Reach Goal
2021-01-26 16:17:03,109 - INFO - Env 04, Goal (-04.5, 002.4), Episode 00004, setp 116, Reward 36.0 , Distance 009.0, Reach Goal
2021-01-26 16:17:05,109 - INFO - Env 05, Goal (-02.6, 005.9), Episode 00004, setp 143, Reward 37.6 , Distance 009.5, Reach Goal
2021-01-26 16:17:05,109 - INFO - Env 01, Goal (-06.1, 002.1), Episode 00004, setp 152, Reward 17.5 , Distance 008.4, Time out
2021-01-26 16:17:05,506 - INFO - Env 10, Goal (-02.2, -03.0), Episode 00004, setp 095, Reward 36.4 , Distance 009.2, Reach Goal
2021-01-26 16:17:05,506 - INFO - Env 00, Goal (-03.2, 004.0), Episode 00006, setp 020, Reward -10.7, Distance 008.0, Crashed
2021-01-26 16:17:05,506 - INFO - Env 05, Goal (003.1, -08.2), Episode 00005, setp 002, Reward -15.0, Distance 008.1, Crashed
2021-01-26 16:17:06,121 - INFO - Env 03, Goal (000.4, 002.5), Episode 00005, setp 088, Reward 34.5 , Distance 008.3, Reach Goal
2021-01-26 16:17:06,510 - INFO - Env 07, Goal (001.7, -05.9), Episode 00004, setp 117, Reward 37.3 , Distance 009.6, Reach Goal
