2021-02-04 10:11:26,215 - INFO - ####################################
2021-02-04 10:11:26,216 - INFO - ############Loading Model###########
2021-02-04 10:11:26,216 - INFO - ####################################
2021-02-04 10:13:02,883 - INFO - ####################################
2021-02-04 10:13:04,080 - INFO - ############Loading Model###########
2021-02-04 10:13:04,080 - INFO - ####################################
2021-02-04 10:13:25,681 - INFO - Env 05, Goal (005.7, 005.7), Episode 00001, step 109, Reward 5.4  , Distance 016.0, Crashed
2021-02-04 10:13:41,584 - INFO - Env 03, Goal (005.7, -05.7), Episode 00001, step 213, Reward 5.1  , Distance 016.0, Crashed
2021-02-04 10:13:56,259 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00001, step 290, Reward 5.2  , Distance 016.0, Crashed
2021-02-04 10:14:07,942 - INFO - Env 04, Goal (008.0, 000.0), Episode 00001, step 351, Reward 3.5  , Distance 016.0, Crashed
2021-02-04 10:14:20,887 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00001, step 430, Reward 4.2  , Distance 016.0, Crashed
2021-02-04 10:14:33,082 - INFO - Env 04, Goal (008.0, 000.0), Episode 00002, step 152, Reward 3.0  , Distance 015.9, Crashed
2021-02-04 10:14:46,950 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00001, step 605, Reward 4.7  , Distance 016.0, Crashed
2021-02-04 10:14:58,650 - INFO - Env 06, Goal (000.0, 008.0), Episode 00001, step 701, Reward 3.8  , Distance 016.0, Crashed
2021-02-04 10:15:09,243 - INFO - Env 02, Goal (000.0, -08.0), Episode 00001, step 776, Reward 1.2  , Distance 016.0, Crashed
2021-02-04 10:15:20,659 - INFO - Env 03, Goal (005.7, -05.7), Episode 00002, step 651, Reward 4.1  , Distance 016.0, Crashed
2021-02-04 10:15:33,056 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00002, step 534, Reward 4.0  , Distance 015.9, Crashed
2021-02-04 10:15:46,552 - INFO - Env 05, Goal (005.7, 005.7), Episode 00002, step 949, Reward 2.7  , Distance 015.9, Crashed
2021-02-04 10:16:03,363 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00002, step 584, Reward 5.9  , Distance 015.9, Crashed
2021-02-04 10:16:13,591 - INFO - Env 04, Goal (008.0, 000.0), Episode 00003, step 770, Reward 2.3  , Distance 016.0, Crashed
2021-02-04 10:16:27,192 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00003, step 189, Reward 2.3  , Distance 015.9, Crashed
2021-02-04 10:16:37,973 - INFO - Env 04, Goal (008.0, 000.0), Episode 00004, step 190, Reward 0.5  , Distance 015.9, Crashed
2021-02-04 10:17:03,487 - INFO - Env 03, Goal (005.7, -05.7), Episode 00003, step 771, Reward 53.4 , Distance 015.9, Reach Goal
2021-02-04 10:17:16,151 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00004, step 360, Reward 3.6  , Distance 015.9, Crashed
2021-02-04 10:17:41,255 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00005, step 208, Reward 53.5 , Distance 015.9, Reach Goal
2021-02-04 10:17:41,258 - INFO - Env 02, Goal (000.0, -08.0), Episode 00002, step 1167, Reward 53.3 , Distance 015.9, Reach Goal
2021-02-04 10:24:26,699 - INFO - ####################################
2021-02-04 10:24:26,732 - INFO - ############Loading Model###########
2021-02-04 10:24:26,732 - INFO - ####################################
2021-02-04 10:24:38,942 - INFO - Env 04, Goal (008.0, 000.0), Episode 00001, step 101, Reward 2.5  , Distance 016.0, Crashed
2021-02-04 10:24:53,149 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00001, step 232, Reward 4.0  , Distance 016.0, Crashed
2021-02-04 10:25:05,516 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00001, step 348, Reward 4.3  , Distance 016.0, Crashed
2021-02-04 10:25:05,516 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00001, step 348, Reward 5.5  , Distance 016.0, Crashed
2021-02-04 10:25:17,403 - INFO - Env 03, Goal (005.7, -05.7), Episode 00001, step 459, Reward 4.6  , Distance 016.0, Crashed
2021-02-04 10:25:29,229 - INFO - Env 04, Goal (008.0, 000.0), Episode 00002, step 470, Reward 3.7  , Distance 015.9, Crashed
2021-02-04 10:25:40,619 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00002, step 330, Reward 3.6  , Distance 015.9, Crashed
2021-02-04 10:26:06,116 - INFO - Env 04, Goal (008.0, 000.0), Episode 00003, step 353, Reward 53.4 , Distance 015.9, Reach Goal
2021-02-04 10:26:28,944 - INFO - Env 06, Goal (000.0, 008.0), Episode 00001, step 1142, Reward 18.2 , Distance 016.0, Crashed
2021-02-04 10:26:52,050 - INFO - Env 05, Goal (005.7, 005.7), Episode 00001, step 1364, Reward 53.6 , Distance 016.0, Reach Goal
2021-02-04 10:27:05,536 - INFO - Env 02, Goal (000.0, -08.0), Episode 00001, step 1492, Reward 6.4  , Distance 016.0, Crashed
2021-02-04 10:27:19,442 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00003, step 947, Reward 9.3  , Distance 015.9, Crashed
2021-02-04 10:27:36,235 - INFO - Env 06, Goal (000.0, 008.0), Episode 00002, step 643, Reward 6.7  , Distance 015.9, Crashed
2021-02-04 10:27:58,829 - INFO - Env 06, Goal (000.0, 008.0), Episode 00003, step 218, Reward 11.4 , Distance 016.0, Crashed
2021-02-04 10:28:21,829 - INFO - Env 05, Goal (005.7, 005.7), Episode 00002, step 858, Reward 20.6 , Distance 015.9, Crashed
2021-02-04 10:28:33,134 - INFO - Env 04, Goal (008.0, 000.0), Episode 00004, step 1405, Reward 4.3  , Distance 015.9, Crashed
2021-02-04 10:28:45,047 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00002, step 2206, Reward 3.3  , Distance 015.9, Crashed
2021-02-04 10:28:55,351 - INFO - Env 02, Goal (000.0, -08.0), Episode 00002, step 1044, Reward 1.7  , Distance 015.9, Crashed
2021-02-04 10:29:08,829 - INFO - Env 03, Goal (005.7, -05.7), Episode 00002, step 2205, Reward 8.5  , Distance 015.9, Crashed
2021-02-04 10:29:19,823 - INFO - Env 06, Goal (000.0, 008.0), Episode 00004, step 766, Reward 4.4  , Distance 015.9, Crashed
2021-02-04 10:29:31,004 - INFO - Env 03, Goal (005.7, -05.7), Episode 00003, step 209, Reward 3.6  , Distance 015.9, Crashed
2021-02-04 10:29:42,622 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00003, step 544, Reward 4.6  , Distance 016.0, Crashed
2021-02-04 10:29:53,924 - INFO - Env 03, Goal (005.7, -05.7), Episode 00004, step 216, Reward 4.9  , Distance 015.9, Crashed
2021-02-04 10:30:04,949 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00004, step 212, Reward 2.7  , Distance 015.9, Crashed
2021-02-04 10:30:04,949 - INFO - Env 05, Goal (005.7, 005.7), Episode 00003, step 971, Reward 3.6  , Distance 015.9, Crashed
2021-02-04 10:30:15,422 - INFO - Env 06, Goal (000.0, 008.0), Episode 00005, step 524, Reward 3.1  , Distance 015.9, Crashed
2021-02-04 10:30:25,104 - INFO - Env 05, Goal (005.7, 005.7), Episode 00004, step 189, Reward 2.5  , Distance 015.9, Crashed
2021-02-04 10:30:36,117 - INFO - Env 04, Goal (008.0, 000.0), Episode 00005, step 1156, Reward 3.2  , Distance 015.9, Crashed
2021-02-04 10:30:46,632 - INFO - Env 05, Goal (005.7, 005.7), Episode 00005, step 203, Reward 0.8  , Distance 015.9, Crashed
2021-02-04 10:30:57,135 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00004, step 2057, Reward 1.1  , Distance 016.0, Crashed
2021-02-04 10:31:08,637 - INFO - Env 02, Goal (000.0, -08.0), Episode 00003, step 1252, Reward 4.3  , Distance 015.9, Crashed
2021-02-04 10:31:19,316 - INFO - Env 03, Goal (005.7, -05.7), Episode 00005, step 800, Reward 2.6  , Distance 015.9, Crashed
2021-02-04 10:31:30,307 - INFO - Env 06, Goal (000.0, 008.0), Episode 00006, step 699, Reward 5.5  , Distance 015.9, Crashed
2021-02-04 10:31:41,415 - INFO - Env 06, Goal (000.0, 008.0), Episode 00007, step 107, Reward 2.5  , Distance 015.9, Crashed
2021-02-04 10:31:41,416 - INFO - Env 05, Goal (005.7, 005.7), Episode 00006, step 513, Reward 3.1  , Distance 015.9, Crashed
2021-02-04 10:31:50,920 - INFO - Env 06, Goal (000.0, 008.0), Episode 00008, step 089, Reward 0.4  , Distance 015.9, Crashed
2021-02-04 10:32:01,611 - INFO - Env 05, Goal (005.7, 005.7), Episode 00007, step 188, Reward 1.1  , Distance 015.9, Crashed
2021-02-04 10:32:12,243 - INFO - Env 02, Goal (000.0, -08.0), Episode 00004, step 593, Reward 1.8  , Distance 015.9, Crashed
2021-02-04 10:32:22,152 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00002, step 4125, Reward 2.0  , Distance 015.9, Crashed
2021-02-04 10:32:32,508 - INFO - Env 02, Goal (000.0, -08.0), Episode 00005, step 192, Reward 1.9  , Distance 015.9, Crashed
2021-02-04 10:32:43,231 - INFO - Env 06, Goal (000.0, 008.0), Episode 00009, step 488, Reward 1.5  , Distance 015.9, Crashed
